project_A_id,project_B_id,overlap_score,overlap_class
129,136,0.03155818540433925,high
129,126,0.007518796992481203,low
129,30,0.010638297872340425,high
129,128,0.017241379310344827,high
129,131,0.03125,high
77,107,0.005747126436781609,low
77,106,0.004739336492890996,low
77,5,0.008016032064128256,low
77,162,0.004273504273504274,low
77,172,0.004310344827586207,low
77,156,0.006230529595015576,low
77,17,0.0033444816053511705,low
77,35,0.006134969325153374,low
77,8,0.0051813471502590676,low
77,7,0.0049261083743842365,low
77,79,0.09090909090909091,high
77,73,0.03932584269662921,high
77,108,0.005235602094240838,low
77,93,0.005649717514124294,low
77,80,0.006535947712418301,low
77,167,0.0051813471502590676,low
77,19,0.006024096385542169,low
77,177,0.003003003003003003,low
77,92,0.006060606060606061,low
77,16,0.014084507042253521,high
77,44,0.0037174721189591076,low
77,74,0.011627906976744186,high
77,9,0.0031446540880503146,low
77,34,0.0057306590257879654,low
77,127,0.005649717514124294,low
77,71,0.051490514905149054,high
77,40,0.004545454545454545,low
77,115,0.0028653295128939827,low
77,21,0.010362694300518135,high
77,11,0.0045871559633027525,low
77,157,0.003676470588235294,low
77,38,0.003278688524590164,low
77,72,0.04417670682730924,high
77,54,0.011494252873563218,high
77,150,0.005,low
77,153,0.0078125,low
77,100,0.04945054945054945,high
77,12,0.008064516129032258,low
77,91,0.00392156862745098,low
77,169,0.004739336492890996,low
77,29,0.004405286343612335,low
77,102,0.003861003861003861,low
77,76,0.025252525252525252,high
77,163,0.00980392156862745,low
77,128,0.004329004329004329,low
77,94,0.0051813471502590676,low
77,32,0.004098360655737705,low
82,5,0.0076726342710997444,low
82,162,0.008,low
82,7,0.00199203187250996,low
82,125,0.007751937984496124,low
82,79,0.012195121951219513,high
82,81,0.12962962962962962,high
82,73,0.013333333333333334,high
82,86,0.05555555555555555,high
82,83,0.14814814814814814,high
82,49,0.011627906976744186,high
82,19,0.004464285714285714,low
82,16,0.009433962264150943,low
82,44,0.00625,low
82,74,0.015625,high
82,201,0.014492753623188406,high
82,34,0.008333333333333333,low
82,71,0.010869565217391304,high
