project_id,project_name,description,category,cost,votes,agg_quartiers,src_district_code,approved,approved_binary
50,Des ralentisseurs boulevard Déodat de Séverac pour plus de sécurité et de quiétude,"Même si le boulevard reste très bien aménagé avec une partie réservée piétons/cyclistes, il n'en est pas moins très fréquenté avec le lycée et les habitations autour, et un moyen de ralentir les voitures permettrait d'améliorer la quiétude et la sécurité des nombreux piétons/cyclistes qui l'empruntent chaque jour. Je propose de positionner des ralentisseurs, notamment en face du lycée Déodat de Séverac, afin d'éviter que les automobilistes roulent au delà de 50km/h.",Éco-mobilité,15000,2,Croix de Pierre / Route d'Espagne,2.2,False,0
4,Uritrottoir en plus,"Même si c'est déplorable de devoir installer des urinoirs en pleine ville pour retrouver une certaine hygiène collective, cela fonctionne bien à Saint Pierre et à la Daurade. Je vous propose donc d'étendre l'initiative rue de la Bastide. En effet, la rue est devenue un urinoir à ciel ouvert, à tout heures de la journée. C'est déplorable pour ceux qui y habitent mais aussi pour ceux qui y passent simplement. Il y a la place pour en mettre un.",Cadre de vie,14000,36,Capitole / Arnaud Bernard / Carmes,1.1,False,0
140,Faire des stationnements matérialisés avenue des coteaux ,"Les véhicules stationnant avenue des coteaux ne respectent pas le stationnement alterné, et sont garés des 2 côtés de la rue. La circulation est alors très ralentie, et ne sachant pas quel côté est prioritaire selon la quinzaine du mois, il est difficile de fluidifier la circulation car on ne sait pas qui est prioritaire par rapport au véhicule d’en face. Il me semble que si cette rue bénéficiait de stationnement matérialisé, en alternance par exemple, nous aurions une circulation automobile plus respectueuse et fluide. C’est particulièrement frappant pour l’avenue des coteaux, mais cela vaut pour beaucoup de rue résidentielles du quartier (avenue des pivoines, edelweiss,…). Cela permettrait peut être aussi de désengorger le feu au croisement de la route de Narbonne notamment le matin, pour permettre aux véhicules tournant à droite de ne pas s’accumuler dans la queue de véhicule tournant vers le périphérique.",Cadre de vie,115000,11,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0
5,Végétalisation de la place du Capitole,"Pour donner encore plus de majesté à ce lieu emblématique de la ville rose, cette place pourrait être entourée de verdure : plantation d'arbres, bacs...",Nature en ville,200000,358,Capitole / Arnaud Bernard / Carmes,1.1,True,1
104,Piste cyclable chemin Caillibens ,"Le chemin de Caillibens est l'unique moyen de couper au travers du cimetière pour relier l'avenue de la gloire et jolimont. Il est emprunté quotidiennement par de nombreux parents déposant leurs enfants à l'école de la gloire et à la crèche Jolimont. Ce chemin à double sens est étroit, les voitures y circulent vite. Cela met les cyclistes en danger. Ma proposition est d'établir une circulation à sens unique et d'utiliser la voie ainsi libérée pour installer une piste cyclable à double sens. Les cyclistes seront alors en sécurité. Les automobilistes dans le sens interdit pourront être redirigés sur le boulevard des crêtes.",Éco-mobilité,50000,9,Lapujade / Bonnefoy / Périole / Marengo / La Colonne,4.1,False,0
135,"Restructuration ""verte"" de la place Roger Arnaud ","Profiter du financement de cet appel à idée pour amorcer la réflexion avec TM, et un bureau d’études si nécessaire, sur une restructuration complète de la place Roger Arnaud en partie sacrifiée aujourd'hui au stationnement. Notre Association, après des relevés détaillés du fonctionnement de ce lieu (comportements des habitants, trafics piétons, vélos, voitures et stationnement), a conclu à la possibilité d’une restructuration de ce lieu emblématique pour le cœur de quartier ""Pont des Demoiselles"". Celle-ci conduirait à : - Créer un grand square vert en lieu et place du parking actuel. - Simplifier l’organisation des flux cyclistes et automobiles en supprimant en particulier les entrecroisements des différents trafics dans l’entonnoir qui se situe entre la place et l’avenue Saint-Exupéry. - Faciliter et sécuriser les déplacements à vélos et trottinettes nombreux à emprunter ce passage obligé entre la partie nord du quartier, les établissements scolaires, la piste du canal du midi et au-delà le centre ville ou le campus universitaire. - Offrir aux piétons un site confortable et agréable à traverser vers et depuis la rue Pradal qui les conduira jusqu’à la station Jean Rieux de la ligne de métro TAE et dont les sections de trottoirs les plus étroites devraient être élargies d’ici 2028. - Maintenir une offre de stationnement le long des voies réorganisées pour satisfaire aux besoins des commerces et services du cœur de quartier, la gérer par une règlementation stimulant un bonne rotation d’usage. Si les financements associés à l’appel à idée le permettaient, pourquoi ne pas entamer une partie des travaux ou actions relatives à cette restructuration qui nous parait indispensable à moyen terme et ramènerait, sous les platanes, du «vert », des jeux d’enfants, pourquoi pas un marché de plein vent au cœur du quartier, etc.Modalités de réalisations - Avis technique :La place Roger Arnaud fait partie du périmètre d'une opération Cœur de quartier de Toulouse Métropole. Il est proposé de renforcer le volet dédié à la végétalisation de la place Arnaud, en complément du projet Cœur de quartier en cours d'études, visant à requalifier les espaces publics.",Nature en ville,200000,112,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,True,1
190,Bornes publiques de recharge électrique,"Installer un point de bornes de recharge électrique à Saint-Simon. Le quartier se développe, avec de plus en plus de résidences pas toutes équipées de bornes de recharge, en particulier les plus anciennes. Le développement de la voiture électrique et de la zone ZFE peut difficilement se faire sans des équipements collectifs au service de tous et qui peuvent être moteur dans la transition énergétique. Il existe aussi des lampadaires intégrant une borne de recharge, des expérimentations sont en cours en France, pourquoi pas à Toulouse et en particulier à Saint-Simon ?",Éco-mobilité,10500,7,Saint-Simon / Lafourguette / Oncopole-Campus Santé du Futur,6.4,False,0
36,Facilliter la traversée des allées Charles de Fitte,"La traversée des allées Charles de Fitte au niveau de la rue Marthe Varsi est compliquée pour les cyclistes dans le sens Jardin Raymond VI ---> place du Ravelin. En effet, le feu vert piétons et cyclistes est simultané au feu vert pour les voitures qui arrivent de la rue Varsi, les cyclistes se retrouvent à gauche de la rue alors qu'ils devront circuler à droite vers la place du Ravelin. Certaines voitures tournant à gauche vers le pont des Catalans laissent passer les cyclistes, d'autres ne le font pas. Le transfert du passage piétons et cyclistes de l'autre côté du croisement soit à peu près en face de la boutique Emmaus serait plus rationnel, les voitures qui arrivent de la rue Varsi seraient dans l'obligation de laisser passer les piétons et les cyclistes. D'autre part, les plaques de la rue Marthe Varsi pourraient être modifiées pour indiquer ""conseillère municipale"" au lieu de ""conseiller municipal"".",Éco-mobilité,80000,52,Saint-Cyprien,2.1,False,0
162,Vive l'énergie solaire sur les toits des bâtiments publics !,"Place aux énergies renouvelables ! Je propose l'installation de panneaux solaires sur toutes les surfaces disponibles des bâtiments publics (écoles, gymnases, mairies de quartier) pour alimenter ces bâtiments, l'éclairage public et voire plus. Rentabilité assurée à long terme. C'est ce qu'on appelle du développement durable !",Énergie,180000,90,Arènes Romaines / Ancely / Saint-Martin du Touch / Purpan,6.1,True,1
123,Zone de Street Workout - Jardin Pierre Larousse,"Pour favoriser la pratique sportive et l'entretien physique des habitants, il serait intéressant d'installer une zone de street workout (barres de tractions, échelles horizontales, barres parallèles, espaliers, barres de pompes ...) dans le jardin Pierre Larousse.",Cadre de vie,20000,6,Bonhoure / Guilheméry / Château de l'Hers / Limayrac / Côte Pavée,4.3,False,0
